pipeline,n_files,R_per_E,A_per_E,nm_pct,dup_pct,pct_entities_with_attrs,pct_entities_with_keys,pct_valid_cardinality,isolated_pct
Multi-LLM BN-LLAMA,247,0.784,4.117,0.0,0.0,89.575,3.102,95.547,7.355
Multi-LLM noBN-GPT,249,0.891,0.0,9.753,2.944,0.0,0.0,97.59,5.975
Multi-LLM noBN-LLAMA,250,0.872,0.0,12.468,2.07,0.0,0.0,99.6,3.013
One-LLM noBN-GPT,250,0.912,0.0,10.246,1.433,0.0,0.0,100.0,1.818
One-LLM noBN-LLAMA,249,0.98,0.0,24.021,2.61,0.0,0.0,98.795,0.716
One-LLM BN-LLAMA,245,0.985,3.789,0.0,1.038,99.837,82.274,100.0,0.62
One-LLM BN-GPT,249,0.91,4.756,0.0,1.191,99.933,98.621,100.0,1.973
DSL-ToT-DM-LLAMA,250,0.929,0.0,12.664,4.439,0.0,0.0,99.447,2.07
SchemaAgent-GPT-oss-120b,187,0.954,0.0,16.322,3.678,0.0,0.0,98.93,0.861
